Cod	Secc	Curso	Tipo	Horario	Aula	Docente
CM0D8	A	TEORIA ANALITICA DE NUMEROS	PRACTICA	JU 18-20	R1-411	SALINAS ZAVALA, CHRISTOPER JESUS
CM008	A	GEOMETRIA DIFERENCIAL	TEORIA	MA 8-10	J3-162A	ABANTO SILVA, DIMAS PERCY
CM008	A	GEOMETRIA DIFERENCIAL	TEORIA	JU 8-10	J3-152	ABANTO SILVA, DIMAS PERCY
CM008	A	GEOMETRIA DIFERENCIAL	PRACTICA	VI 14-16	R1-250B	ABANTO SILVA, DIMAS PERCY
CM032	A	METODOS NUMERICOS PARA ECUACIONES DIFERENCIALES PARCIALES	TEORIA	LU 16-18	R1-250A	JARA HUANCA, FIDEL
CM032	A	METODOS NUMERICOS PARA ECUACIONES DIFERENCIALES PARCIALES	TEORIA	MI 17-19	SALA 2	JARA HUANCA, FIDEL
CM032	A	METODOS NUMERICOS PARA ECUACIONES DIFERENCIALES PARCIALES	PRACTICA	VI 16-18	R3-123B	JARA HUANCA, FIDEL
CM073	A	TOPICOS DE LA INVESTIGACION II	TEORIA	LU 12-14	R1-401	CASTILLO LAGOS, HUGO ALONSO
CM073	A	TOPICOS DE LA INVESTIGACION II	TEORIA	MA 10-12	R1-460	CASTILLO LAGOS, HUGO ALONSO
CM073	A	TOPICOS DE LA INVESTIGACION II	PRACTICA	JU 12-14	R1-401	CASTILLO LAGOS, HUGO ALONSO
CM090	A	INTRODUCCION A LOS ELEMENTOS FINITOS	TEORIA	LU 14-16	R1-215	MANTILLA NUÑEZ, IRLA DORALIZA
CM090	A	INTRODUCCION A LOS ELEMENTOS FINITOS	TEORIA	MI 14-16	R1-215	MANTILLA NUÑEZ, IRLA DORALIZA
CM090	A	INTRODUCCION A LOS ELEMENTOS FINITOS	PRACTICA	VI 10-12	J3-152	RAMÍREZ GUTIERREZ, ANGEL ENRIQUE
CM1A2	A	LOGICA Y TEORIA DE CONJUNTOS	TEORIA	SA 9-12	R1-440	CASTILLO LAGOS, HUGO ALONSO
CM1A2	A	LOGICA Y TEORIA DE CONJUNTOS	PRACTICA	LU 16-18	J3-252	CASTILLO LAGOS, HUGO ALONSO
CM1B2	A	ALGEBRA LINEAL I	TEORIA	MA 16-18	J3-242	NAVARRO ROJAS, FRANK
CM1B2	A	ALGEBRA LINEAL I	TEORIA	JU 14-16	R1-401	NAVARRO ROJAS, FRANK
CM1B2	A	ALGEBRA LINEAL I	PRACTICA	VI 14-16	J3-162A	NUÑEZ SULLCA, ALBERTH JOHN
CM1B2	B	ALGEBRA LINEAL I	TEORIA	MI 10-12	R1-430	PEREZ CUPE, RÓSULO HILARIÓN
CM1B2	B	ALGEBRA LINEAL I	TEORIA	JU 10-12	R1-460	PEREZ CUPE, RÓSULO HILARIÓN
CM1B2	B	ALGEBRA LINEAL I	PRACTICA	VI 14-16	J3-222	TAMARA ALBINO, JIMMY RAINER
CM1B2	C	ALGEBRA LINEAL I	TEORIA	JU 10-12	J3-232	TAMARA ALBINO, JIMMY RAINER
CM1B2	C	ALGEBRA LINEAL I	TEORIA	VI 10-12	J3-252	TAMARA ALBINO, JIMMY RAINER
CM1B2	C	ALGEBRA LINEAL I	PRACTICA	VI 14-16	J3-252	PÉREZ ORTIZ, JOAQUÍN OMAR
CM1H2	A	CALCULO DE PROBABILIDADES	TEORIA	JU 8-10	R1-401	UGARTE CHAMORRO, JOSÉ LUIS
CM1H2	A	CALCULO DE PROBABILIDADES	LABORATORIO	MA 10-12	SALA 2	NUÑEZ SULLCA, ALBERTH JOHN
